DATE,M1
1980-11-03,409.2
1980-11-10,410.4
1980-11-17,411.3
1980-11-24,410.8
1980-12-01,410.5
1980-12-08,409.6
1980-12-15,410.7
1980-12-22,409.9
1980-12-29,404.3
1981-01-05,407.4
1981-01-12,409.4
1981-01-19,413.2
1981-01-26,413.8
1981-02-02,410.8
1981-02-09,413.6
1981-02-16,415.3
1981-02-23,416.6
1981-03-02,414.7
1981-03-09,417.4
1981-03-16,419.1
1981-03-23,419.2
1981-03-30,421.0
1981-04-06,424.0
1981-04-13,426.1
1981-04-20,429.7
1981-04-27,429.2
1981-05-04,427.6
1981-05-11,425.7
1981-05-18,423.6
1981-05-25,423.1
1981-06-01,424.6
1981-06-08,423.1
1981-06-15,425.4
1981-06-22,426.6
1981-06-29,425.2
1981-07-06,428.8
1981-07-13,426.2
1981-07-20,427.4
1981-07-27,426.2
1981-08-03,425.9
1981-08-10,429.0
1981-08-17,426.3
1981-08-24,425.8
1981-08-31,427.0
1981-09-07,425.6
1981-09-14,429.0
1981-09-21,428.3
1981-09-28,424.9
1981-10-05,427.0
1981-10-12,428.3
1981-10-19,428.9
1981-10-26,428.9
1981-11-02,428.3
1981-11-09,430.6
1981-11-16,431.4
1981-11-23,430.4
1981-11-30,433.5
1981-12-07,436.2
1981-12-14,435.1
1981-12-21,437.2
1981-12-28,436.7
1982-01-04,440.2
1982-01-11,442.7
1982-01-18,442.8
1982-01-25,442.7
1982-02-01,444.2
1982-02-08,441.3
1982-02-15,442.3
1982-02-22,441.6
1982-03-01,442.2
1982-03-08,442.1
1982-03-15,443.4
1982-03-22,442.4
1982-03-29,442.4
1982-04-05,445.2
1982-04-12,447.6
1982-04-19,448.5
1982-04-26,447.7
1982-05-03,445.3
1982-05-10,447.2
1982-05-17,445.9
1982-05-24,447.1
1982-05-31,447.4
1982-06-07,448.0
1982-06-14,449.1
1982-06-21,448.3
1982-06-28,445.0
1982-07-05,446.1
1982-07-12,449.0
1982-07-19,447.8
1982-07-26,448.4
1982-08-02,448.5
1982-08-09,449.6
1982-08-16,451.2
1982-08-23,452.3
1982-08-30,453.1
1982-09-06,454.5
1982-09-13,456.6
1982-09-20,458.2
1982-09-27,456.6
1982-10-04,460.0
1982-10-11,463.3
1982-10-18,463.9
1982-10-25,465.5
1982-11-01,468.7
1982-11-08,470.4
1982-11-15,472.1
1982-11-22,471.9
1982-11-29,471.5
1982-12-06,474.2
1982-12-13,477.1
1982-12-20,475.2
1982-12-27,473.9
1983-01-03,472.6
1983-01-10,475.3
1983-01-17,477.2
1983-01-24,478.4
1983-01-31,479.7
1983-02-07,482.3
1983-02-14,483.4
1983-02-21,483.9
1983-02-28,487.5
1983-03-07,489.6
1983-03-14,489.6
1983-03-21,490.9
1983-03-28,491.0
1983-04-04,493.4
1983-04-11,493.7
1983-04-18,491.2
1983-04-25,492.5
1983-05-02,496.0
1983-05-09,497.5
1983-05-16,501.3
1983-05-23,500.9
1983-05-30,501.0
1983-06-06,502.6
1983-06-13,504.2
1983-06-20,504.4
1983-06-27,503.9
1983-07-04,505.1
1983-07-11,508.2
1983-07-18,506.8
1983-07-25,508.2
1983-08-01,510.1
1983-08-08,509.1
1983-08-15,510.8
1983-08-22,510.9
1983-08-29,510.6
1983-09-05,512.3
1983-09-12,511.8
1983-09-19,512.3
1983-09-26,514.0
1983-10-03,513.8
1983-10-10,517.3
1983-10-17,517.7
1983-10-24,518.5
1983-10-31,518.4
1983-11-07,518.9
1983-11-14,519.1
1983-11-21,518.8
1983-11-28,518.6
1983-12-05,520.4
1983-12-12,521.6
1983-12-19,522.2
1983-12-26,520.6
1984-01-02,522.2
1984-01-09,525.3
1984-01-16,526.3
1984-01-23,525.0
1984-01-30,524.2
1984-02-06,526.6
1984-02-13,527.1
1984-02-20,528.5
1984-02-27,527.4
1984-03-05,529.4
1984-03-12,530.0
1984-03-19,531.4
1984-03-26,533.3
1984-04-02,531.8
1984-04-09,533.8
1984-04-16,535.5
1984-04-23,534.7
1984-04-30,534.5
1984-05-07,535.4
1984-05-14,537.4
1984-05-21,537.1
1984-05-28,536.2
1984-06-04,539.6
1984-06-11,540.2
1984-06-18,539.3
1984-06-25,540.3
1984-07-02,541.1
1984-07-09,539.9
1984-07-16,542.2
1984-07-23,541.3
1984-07-30,539.7
1984-08-06,540.5
1984-08-13,541.2
1984-08-20,541.3
1984-08-27,540.7
1984-09-03,541.7
1984-09-10,543.4
1984-09-17,542.8
1984-09-24,542.8
1984-10-01,544.9
1984-10-08,542.2
1984-10-15,545.7
1984-10-22,542.1
1984-10-29,544.4
1984-11-05,546.4
1984-11-12,546.7
1984-11-19,549.7
1984-11-26,549.1
1984-12-03,545.1
1984-12-10,549.6
1984-12-17,550.6
1984-12-24,554.0
1984-12-31,555.9
1985-01-07,554.0
1985-01-14,555.6
1985-01-21,557.5
1985-01-28,558.8
1985-02-04,561.4
1985-02-11,562.4
1985-02-18,563.7
1985-02-25,564.9
1985-03-04,565.7
1985-03-11,565.6
1985-03-18,565.1
1985-03-25,567.6
1985-04-01,568.9
1985-04-08,567.8
1985-04-15,571.2
1985-04-22,572.1
1985-04-29,570.4
1985-05-06,571.9
1985-05-13,574.0
1985-05-20,576.4
1985-05-27,577.1
1985-06-03,575.9
1985-06-10,580.5
1985-06-17,581.2
1985-06-24,583.6
1985-07-01,587.3
1985-07-08,585.7
1985-07-15,588.6
1985-07-22,590.0
1985-07-29,591.0
1985-08-05,593.6
1985-08-12,594.9
1985-08-19,595.7
1985-08-26,598.5
1985-09-02,598.2
1985-09-09,601.3
1985-09-16,601.2
1985-09-23,602.0
1985-09-30,610.3
1985-10-07,606.2
1985-10-14,605.8
1985-10-21,609.5
1985-10-28,608.9
1985-11-04,609.9
1985-11-11,609.3
1985-11-18,611.0
1985-11-25,614.8
1985-12-02,616.2
1985-12-09,618.2
1985-12-16,619.5
1985-12-23,622.4
1985-12-30,619.9
1986-01-06,622.0
1986-01-13,620.1
1986-01-20,620.9
1986-01-27,623.4
1986-02-03,620.3
1986-02-10,624.1
1986-02-17,624.4
1986-02-24,627.7
1986-03-03,627.5
1986-03-10,631.7
1986-03-17,633.5
1986-03-24,635.2
1986-03-31,636.1
1986-04-07,639.7
1986-04-14,638.1
1986-04-21,640.6
1986-04-28,643.3
1986-05-05,648.2
1986-05-12,650.3
1986-05-19,652.2
1986-05-26,654.2
1986-06-02,654.9
1986-06-09,658.1
1986-06-16,661.0
1986-06-23,660.8
1986-06-30,664.2
1986-07-07,665.7
1986-07-14,670.0
1986-07-21,671.5
1986-07-28,672.4
1986-08-04,674.1
1986-08-11,676.0
1986-08-18,677.5
1986-08-25,679.5
1986-09-01,685.4
1986-09-08,685.4
1986-09-15,685.1
1986-09-22,688.3
1986-09-29,690.6
1986-10-06,691.2
1986-10-13,691.2
1986-10-20,695.9
1986-10-27,698.4
1986-11-03,698.9
1986-11-10,702.8
1986-11-17,704.3
1986-11-24,704.3
1986-12-01,714.4
1986-12-08,714.6
1986-12-15,718.6
1986-12-22,726.6
1986-12-29,735.2
1987-01-05,742.1
1987-01-12,727.9
1987-01-19,725.3
1987-01-26,728.5
1987-02-02,729.9
1987-02-09,730.1
1987-02-16,730.0
1987-02-23,731.7
1987-03-02,731.4
1987-03-09,732.2
1987-03-16,733.9
1987-03-23,733.8
1987-03-30,735.4
1987-04-06,737.2
1987-04-13,737.8
1987-04-20,749.4
1987-04-27,749.9
1987-05-04,745.1
1987-05-11,743.3
1987-05-18,744.6
1987-05-25,748.2
1987-06-01,748.1
1987-06-08,742.0
1987-06-15,743.4
1987-06-22,744.0
1987-06-29,742.3
1987-07-06,745.4
1987-07-13,740.6
1987-07-20,742.9
1987-07-27,744.5
1987-08-03,741.4
1987-08-10,743.9
1987-08-17,744.8
1987-08-24,746.3
1987-08-31,746.2
1987-09-07,743.5
1987-09-14,746.5
1987-09-21,748.8
1987-09-28,749.8
1987-10-05,753.7
1987-10-12,748.9
1987-10-19,755.0
1987-10-26,765.2
1987-11-02,758.5
1987-11-09,755.4
1987-11-16,752.9
1987-11-23,752.0
1987-11-30,751.0
1987-12-07,750.5
1987-12-14,749.8
1987-12-21,749.6
1987-12-28,750.6
1988-01-04,751.1
1988-01-11,753.2
1988-01-18,755.8
1988-01-25,759.0
1988-02-01,760.3
1988-02-08,756.6
1988-02-15,757.4
1988-02-22,759.8
1988-02-29,756.7
1988-03-07,758.1
1988-03-14,760.6
1988-03-21,763.1
1988-03-28,763.7
1988-04-04,765.5
1988-04-11,765.8
1988-04-18,766.8
1988-04-25,772.2
1988-05-02,769.6
1988-05-09,769.9
1988-05-16,771.9
1988-05-23,772.5
1988-05-30,772.7
1988-06-06,776.4
1988-06-13,776.5
1988-06-20,780.6
1988-06-27,779.8
1988-07-04,777.7
1988-07-11,781.3
1988-07-18,780.3
1988-07-25,782.2
1988-08-01,784.3
1988-08-08,782.2
1988-08-15,783.4
1988-08-22,783.4
1988-08-29,784.0
1988-09-05,783.8
1988-09-12,782.8
1988-09-19,784.6
1988-09-26,785.1
1988-10-03,781.1
1988-10-10,782.3
1988-10-17,784.0
1988-10-24,783.1
1988-10-31,784.1
1988-11-07,783.2
1988-11-14,784.2
1988-11-21,784.5
1988-11-28,786.9
1988-12-05,787.5
1988-12-12,788.2
1988-12-19,786.5
1988-12-26,784.6
1989-01-02,787.4
1989-01-09,786.7
1989-01-16,786.2
1989-01-23,786.5
1989-01-30,783.2
1989-02-06,784.4
1989-02-13,783.5
1989-02-20,783.5
1989-02-27,783.4
1989-03-06,787.1
1989-03-13,782.6
1989-03-20,783.2
1989-03-27,783.0
1989-04-03,777.4
1989-04-10,776.5
1989-04-17,776.9
1989-04-24,782.3
1989-05-01,782.3
1989-05-08,775.1
1989-05-15,775.7
1989-05-22,773.4
1989-05-29,774.6
1989-06-05,775.3
1989-06-12,772.5
1989-06-19,772.7
1989-06-26,773.6
1989-07-03,774.3
1989-07-10,779.1
1989-07-17,777.9
1989-07-24,778.1
1989-07-31,777.3
1989-08-07,778.4
1989-08-14,779.0
1989-08-21,780.9
1989-08-28,779.9
1989-09-04,777.8
1989-09-11,781.9
1989-09-18,780.2
1989-09-25,781.2
1989-10-02,783.5
1989-10-09,785.2
1989-10-16,788.7
1989-10-23,787.4
1989-10-30,785.8
