"Date","Price","Open","High","Low","Change %"
"Dec 17","1,067.38","1,088.14","1,097.28","1,063.95","-1.91%"
"Nov 17","1,088.14","1,118.43","1,122.80","1,074.72","-2.71%"
"Oct 17","1,118.42","1,145.13","1,149.88","1,116.02","-2.35%"
"Sep 17","1,145.30","1,124.86","1,151.66","1,118.32","1.82%"
"Aug 17","1,124.86","1,119.41","1,149.01","1,115.61","0.49%"
"Jul 17","1,119.40","1,145.60","1,158.75","1,110.90","-2.27%"
"Jun 17","1,145.43","1,119.66","1,149.30","1,115.49","2.30%"
"May 17","1,119.65","1,137.74","1,142.13","1,113.95","-1.60%"
"Apr 17","1,137.88","1,116.91","1,150.61","1,112.27","1.81%"
"Mar 17","1,117.66","1,137.39","1,162.03","1,106.64","-1.77%"
"Feb 17","1,137.80","1,152.06","1,159.81","1,124.96","-1.20%"
"Jan 17","1,151.66","1,206.86","1,212.80","1,147.99","-4.61%"
"Dec 16","1,207.26","1,177.39","1,215.11","1,156.80","2.50%"
"Nov 16","1,177.80","1,143.13","1,188.20","1,128.45","3.07%"
"Oct 16","1,142.74","1,101.80","1,149.95","1,099.34","3.71%"
"Sep 16","1,101.91","1,116.29","1,134.35","1,086.71","-1.29%"
"Aug 16","1,116.30","1,111.45","1,129.61","1,089.61","0.37%"
"Jul 16","1,112.24","1,152.34","1,170.26","1,111.44","-3.48%"
"Jun 16","1,152.35","1,189.75","1,196.76","1,141.03","-3.14%"
"May 16","1,189.74","1,145.45","1,195.22","1,133.72","3.92%"
"Apr 16","1,144.83","1,144.97","1,163.70","1,124.49","-0.01%"
"Mar 16","1,144.97","1,238.24","1,239.09","1,134.69","-7.53%"
"Feb 16","1,238.24","1,208.11","1,246.10","1,181.70","2.49%"
"Jan 16","1,208.11","1,175.94","1,221.70","1,175.19","2.73%"
"Dec 15","1,175.95","1,160.59","1,192.11","1,152.03","1.32%"
"Nov 15","1,160.61","1,140.66","1,175.90","1,127.90","1.70%"
"Oct 15","1,141.16","1,185.28","1,185.90","1,119.58","-3.72%"
"Sep 15","1,185.29","1,182.95","1,209.45","1,158.28","0.21%"
"Aug 15","1,182.82","1,167.15","1,208.37","1,156.49","1.38%"
"Jul 15","1,166.67","1,119.41","1,175.50","1,115.77","4.16%"
"Jun 15","1,120.03","1,113.35","1,128.60","1,098.20","0.63%"
"May 15","1,113.01","1,077.34","1,115.64","1,075.98","3.31%"
"Apr 15","1,077.34","1,108.99","1,109.50","1,063.70","-2.85%"
"Mar 15","1,108.99","1,102.05","1,139.11","1,094.87","0.70%"
"Feb 15","1,101.28","1,101.65","1,116.23","1,083.86","-0.10%"
"Jan 15","1,102.40","1,093.90","1,112.60","1,073.81","0.78%"
"Dec 14","1,093.90","1,113.29","1,122.50","1,079.20","-1.73%"
"Nov 14","1,113.17","1,082.96","1,117.87","1,072.32","3.69%"
"Oct 14","1,073.60","1,057.80","1,077.05","1,044.70","1.77%"
"Sep 14","1,054.95","1,013.70","1,057.40","1,012.30","4.03%"
"Aug 14","1,014.10","1,032.55","1,041.35","1,012.95","-1.35%"
"Jul 14","1,028.00","1,011.65","1,036.15","1,008.15","1.58%"
"Jun 14","1,012.00","1,021.20","1,026.20","1,011.10","-0.86%"
"May 14","1,020.80","1,031.10","1,033.00","1,018.40","-1.23%"
"Apr 14","1,033.50","1,062.05","1,063.05","1,030.58","-2.95%"
"Mar 14","1,064.90","1,072.65","1,083.05","1,060.15","-0.15%"
"Feb 14","1,066.46","1,080.35","1,090.05","1,058.35","-1.37%"
"Jan 14","1,081.31","1,051.85","1,088.35","1,049.15","2.93%"
"Dec 13","1,050.50","1,058.76","1,064.80","1,046.52","-0.73%"
"Nov 13","1,058.21","1,061.28","1,074.55","1,054.85","-0.29%"
"Oct 13","1,061.28","1,074.03","1,077.25","1,054.55","-1.23%"
"Sep 13","1,074.53","1,110.37","1,110.37","1,070.75","-3.20%"
"Aug 13","1,110.02","1,123.85","1,127.85","1,107.40","-1.22%"
"Jul 13","1,123.70","1,141.90","1,153.00","1,108.55","-1.64%"
"Jun 13","1,142.40","1,131.46","1,163.85","1,107.55","0.98%"
"May 13","1,131.26","1,101.91","1,134.45","1,082.55","2.69%"
"Apr 13","1,101.61","1,111.50","1,145.25","1,100.55","-0.88%"
"Mar 13","1,111.35","1,084.20","1,120.20","1,082.20","2.92%"
"Feb 13","1,084.35","1,087.76","1,098.60","1,076.45","-1.11%"
"Jan 13","1,088.26","1,066.85","1,094.65","1,055.25","2.16%"
